Designator;Manufacturer Part Number;Qty;Unit Price (?);Link;
CN1;1769;1;0,64;https://www.mouser.fr/Electronic-Components/;
R1, R2, R3, R4;ASC0603-100KFT5;4;0,09;https://www.mouser.fr/Electronic-Components/;
C8, C11, C13;GCJ188R71E104KA12D;3;0,17;https://www.mouser.fr/Electronic-Components/;
R13;RN73R1JTTD1002F50;1;0,43;https://www.mouser.fr/Electronic-Components/;
C10, C12;GCJ188R71E103KA01D;2;0,14;https://www.mouser.fr/Electronic-Components/;
C1, C2, C4, C6;GRM188R61E106KA73D;3;0,31;https://www.mouser.fr/Electronic-Components/;
R7, R9;RN73R1JTTD1001F50;2;0,43;https://www.mouser.fr/Electronic-Components/;
C3, C5;GCJ188R71E105KA01D;2;0,24;https://www.mouser.fr/Electronic-Components/;
C9;GCJ188R71E222KA01D;1;0,15;https://www.mouser.fr/Electronic-Components/;
R8, R10, R11;RN73H1JTTD4701F100;3;0,22;https://www.mouser.fr/Electronic-Components/;
C7;GRT188C81E475KE13D;1;0,4;https://www.mouser.fr/Electronic-Components/;
J1;47346-1001;1;0,7;https://www.mouser.fr/Electronic-Components/;
U1;AP2112K-3.3TRG1;1;0,4;https://www.mouser.fr/Electronic-Components/;
LED2;HSMR-C191-S0000;1;0,72;https://www.mouser.fr/Electronic-Components/;
U2;CP2102N-A02-GQFN24;1;1,14;https://www.mouser.fr/Electronic-Components/;
Q1;DMG3415U-7;1;0,36;https://www.mouser.fr/Electronic-Components/;
LED1;HSMQ-C191-T0000;1;0,89;https://www.mouser.fr/Electronic-Components/;
SW1;KMR211GLFS;1;0,46;https://www.mouser.fr/Electronic-Components/;
D1;MBR120VLSFT3G;1;0,33;https://www.mouser.fr/Electronic-Components/;
U6;ESP-WROOM-32;1;3,3;https://www.mouser.fr/Electronic-Components/;
S2;MLL1200S;1;2,1;https://www.mouser.fr/Electronic-Components/;
U3;MCP73831T-2ACI/OT;1;0,47;https://www.mouser.fr/Electronic-Components/;
U5;MPU-6050;1;6,17;https://www.mouser.fr/Electronic-Components/;
Q2, Q3;PDTC114TT,215;2;0,14;https://www.mouser.fr/Electronic-Components/;
;;;;;
;;Total;20,4;;
;;;;;
;;;;;
